Geography,Estimate; Median value (dollars),Year
Newport News city,189300,2017
Norfolk city,194800,2017
Norton city,92500,2017
Petersburg city,112900,2017
Poquoson city,316800,2017
Portsmouth city,169400,2017
Radford city,160600,2017
Richmond city,209200,2017
Roanoke city,133700,2017
Salem city,174000,2017
Staunton city,162500,2017
Suffolk city,238200,2017
Virginia Beach city,267300,2017
Waynesboro city,161600,2017
Williamsburg city,307000,2017
Winchester city,226200,2017
