Geography,Estimate; Median value (dollars),Year
Franklin city,184900,2010
Fredericksburg city,335800,2010
Galax city,90600,2010
Hampton city,191500,2010
Harrisonburg city,213400,2010
Hopewell city,130700,2010
Lexington city,244300,2010
Lynchburg city,139100,2010
Manassas city,325800,2010
Manassas Park city,303400,2010
Martinsville city,89200,2010
Newport News city,198500,2010
Norfolk city,208400,2010
Norton city,75200,2010
Petersburg city,115900,2010
Poquoson city,326200,2010
Portsmouth city,180400,2010
Radford city,154700,2010
Richmond city,201800,2010
Roanoke city,128700,2010
Salem city,165700,2010
Staunton city,164400,2010
Suffolk city,252200,2010
Virginia Beach city,277400,2010
Waynesboro city,169700,2010
Williamsburg city,344800,2010
Winchester city,267000,2010
Accomack,153400,2011
Albemarle,350400,2011
Alleghany,112700,2011
Amelia,198600,2011
Amherst,149200,2011
Appomattox,140000,2011
Arlington,575600,2011
Augusta,194100,2011
Bath,137100,2011
Bedford,170600,2011
Bland,90600,2011
Botetourt,208800,2011
Brunswick,101400,2011
Buchanan,70300,2011
Buckingham,119000,2011
Campbell,144200,2011
Caroline,212200,2011
Carroll,98300,2011
Charles City,151200,2011
Charlotte,107600,2011
Chesterfield,237600,2011
Clarke,356700,2011
Craig,144500,2011
Culpeper,285000,2011
Cumberland,150300,2011
Dickenson,71800,2011
Dinwiddie,167500,2011
Essex,176900,2011
Fairfax,493100,2011
Fauquier,376100,2011
Floyd,147900,2011
Fluvanna,235900,2011
Franklin,163800,2011
Frederick,244700,2011
Giles,98800,2011
Gloucester,229300,2011
Goochland,354700,2011
Grayson,96200,2011
Greene,226300,2011
Greensville,104300,2011
Halifax,102300,2011
Hanover,280000,2011
Henrico,229500,2011
Henry,93600,2011
Highland,181900,2011
Isle of Wight,257000,2011
James City,347600,2011
King and Queen,159900,2011
King George,289800,2011
King William,207300,2011
Lancaster,254300,2011
Lee,77900,2011
Loudoun,472000,2011
Louisa,211200,2011
Lunenburg,104800,2011
Madison,254100,2011
Mathews,219300,2011
Mecklenburg,124000,2011
Middlesex,254700,2011
Montgomery,196300,2011
Nelson,187900,2011
New Kent,255100,2011
Northampton,206600,2011
Northumberland,246000,2011
Nottoway,130900,2011
Orange,238500,2011
Page,177300,2011
Patrick,106500,2011
Pittsylvania,105100,2011
Powhatan,283300,2011
Prince Edward,147400,2011
Prince George,206900,2011
Prince William,353300,2011
Pulaski,127600,2011
Rappahannock,415400,2011
Richmond,155200,2011
Roanoke,196500,2011
Rockbridge,179100,2011
Rockingham,196700,2011
Russell,89000,2011
Scott,90400,2011
Shenandoah,215100,2011
Smyth,87400,2011
Southampton,150900,2011
Spotsylvania,286800,2011
Stafford,334800,2011
Surry,174500,2011
Sussex,122400,2011
Tazewell,84900,2011
Warren,244000,2011
Washington,128900,2011
Westmoreland,190000,2011
Wise,79800,2011
Wythe,112400,2011
York,323900,2011
Alexandria city,480300,2011
Bristol city,97400,2011
Buena Vista city,122800,2011
Charlottesville city,283800,2011
Chesapeake city,271700,2011
Colonial Heights city,189100,2011
Covington city,64900,2011
Danville city,88900,2011
Emporia city,94500,2011
Fairfax city,472600,2011
Falls Church city,658500,2011
Franklin city,196100,2011
Fredericksburg city,333000,2011
Galax city,91700,2011
Hampton city,197500,2011
Harrisonburg city,218400,2011
Hopewell city,140000,2011
Lexington city,253700,2011
Lynchburg city,146100,2011
