Geography,Year,EmploymentPopulationRatio
Campbell,2017,58.4
Caroline,2017,55.8
Carroll,2017,53.5
Charles City,2017,55.5
Charlotte,2017,49.9
Chesterfield,2017,65.0
Clarke,2017,60.2
Craig,2017,52.7
Culpeper,2017,60.6
Cumberland,2017,59.6
Dickenson,2017,36.7
Dinwiddie,2017,58.6
Essex,2017,58.9
Fairfax,2017,67.7
Fauquier,2017,64.4
Floyd,2017,56.1
Fluvanna,2017,56.7
Franklin,2017,54.4
Frederick,2017,64.1
Giles,2017,54.7
Gloucester,2017,58.0
Goochland,2017,57.1
Grayson,2017,48.9
Greene,2017,61.3
Greensville,2017,40.7
Halifax,2017,50.5
Hanover,2017,65.6
Henrico,2017,65.6
Henry,2017,48.1
Highland,2017,46.6
Isle of Wight,2017,59.1
James City,2017,55.1
King and Queen,2017,54.2
King George,2017,63.5
King William,2017,64.2
Lancaster,2017,46.5
Lee,2017,37.0
Loudoun,2017,72.7
Louisa,2017,57.6
Lunenburg,2017,45.9
Madison,2017,57.5
Mathews,2017,54.3
Mecklenburg,2017,49.4
Middlesex,2017,47.1
Montgomery,2017,55.8
Nelson,2017,57.5
New Kent,2017,61.2
Northampton,2017,49.6
Northumberland,2017,44.5
Nottoway,2017,43.5
Orange,2017,56.1
Page,2017,54.6
Patrick,2017,48.6
Pittsylvania,2017,54.2
Powhatan,2017,54.1
Prince Edward,2017,45.5
Prince George,2017,48.8
Prince William,2017,68.1
Pulaski,2017,53.5
Rappahannock,2017,57.5
Richmond,2017,43.0
Roanoke,2017,59.1
Rockbridge,2017,54.0
Rockingham,2017,61.6
Russell,2017,44.0
Scott,2017,45.5
Shenandoah,2017,58.1
Smyth,2017,49.4
Southampton,2017,52.6
Spotsylvania,2017,63.8
Stafford,2017,63.0
Surry,2017,55.3
Sussex,2017,26.7
Tazewell,2017,45.9
Warren,2017,60.0
Washington,2017,52.6
Westmoreland,2017,52.9
Wise,2017,40.9
Wythe,2017,54.5
York,2017,57.0
Alexandria city,2017,73.9
Bristol city,2017,51.2
Buena Vista city,2017,53.3
Charlottesville city,2017,61.3
Chesapeake city,2017,58.7
Colonial Heights city,2017,54.5
Covington city,2017,46.7
Danville city,2017,50.2
Emporia city,2017,44.6
Fairfax city,2017,67.3
Falls Church city,2017,71.7
Franklin city,2017,53.8
Fredericksburg city,2017,64.4
Galax city,2017,51.9
Hampton city,2017,56.3
Harrisonburg city,2017,57.5
Hopewell city,2017,54.8
Lexington city,2017,33.7
Lynchburg city,2017,54.2
Manassas city,2017,69.4
Manassas Park city,2017,67.9
Martinsville city,2017,51.7
Newport News city,2017,57.3
Norfolk city,2017,51.8
Norton city,2017,50.6
Petersburg city,2017,51.3
Poquoson city,2017,60.6
Portsmouth city,2017,55.5
Radford city,2017,47.3
Richmond city,2017,59.2
Roanoke city,2017,59.4
Salem city,2017,58.8
Staunton city,2017,58.5
Suffolk city,2017,59.9
Virginia Beach city,2017,61.1
Waynesboro city,2017,58.4
Williamsburg city,2017,46.6
Winchester city,2017,61.0
